date,A_t,C_t,E_t,B_t,vertical
2025-06-02,15,10,0,805,Civil Gov
2025-06-03,19,13,1,811,Starshield
2025-06-04,21,11,1,821,Starshield
2025-06-05,20,7,0,834,Civil Gov
2025-06-06,16,7,0,843,Reseller
2025-06-07,8,10,0,841,Reseller
2025-06-08,0,11,0,830,Reseller
2025-06-09,15,8,1,837,Reseller
2025-06-10,11,7,0,841,Reseller
2025-06-11,13,12,0,842,Maritime
2025-06-12,14,7,0,849,Reseller
2025-06-13,16,8,0,857,Reseller
2025-06-14,8,6,0,859,Reseller
2025-06-15,4,11,0,852,Maritime
2025-06-16,15,16,0,851,Reseller
2025-06-17,12,8,0,855,Fixed
2025-06-18,9,15,0,849,Maritime
2025-06-19,16,8,1,857,Reseller
2025-06-20,20,11,0,866,Reseller
2025-06-21,6,13,0,859,Civil Gov
2025-06-22,0,13,0,846,Fixed
2025-06-23,21,11,1,856,Civil Gov
2025-06-24,14,9,0,861,Reseller
2025-06-25,14,4,2,871,Reseller
2025-06-26,19,10,1,880,Maritime
2025-06-27,20,12,1,888,Aviation
2025-06-28,7,11,1,884,Starshield
2025-06-29,1,10,0,875,Civil Gov
2025-06-30,23,13,0,885,Reseller
2025-07-01,10,12,1,883,Fixed
2025-07-02,25,10,0,898,Reseller
2025-07-03,10,9,0,899,Maritime
2025-07-04,18,13,0,904,Reseller
2025-07-05,2,6,0,900,Starshield
2025-07-06,5,8,0,897,Reseller
2025-07-07,17,13,0,901,Reseller
2025-07-08,17,12,0,906,Civil Gov
2025-07-09,18,9,0,915,Starshield
2025-07-10,21,9,0,927,Reseller
2025-07-11,21,7,0,941,Reseller
2025-07-12,9,8,0,942,Reseller
2025-07-13,0,14,0,928,Fixed
2025-07-14,20,8,0,940,Reseller
2025-07-15,19,8,0,951,Reseller
2025-07-16,25,10,1,966,Reseller
2025-07-17,22,11,0,977,Reseller
2025-07-18,20,13,0,984,Aviation
2025-07-19,1,8,0,977,Fixed
2025-07-20,2,8,0,971,Reseller
2025-07-21,19,6,1,984,Reseller
2025-07-22,12,4,1,992,Reseller
2025-07-23,22,10,0,1004,Reseller
2025-07-24,23,13,0,1014,Reseller
2025-07-25,22,11,0,1025,Starshield
2025-07-26,8,12,0,1021,Reseller
2025-07-27,1,14,0,1008,Reseller
2025-07-28,13,12,1,1009,Reseller
2025-07-29,11,5,1,1015,Reseller
2025-07-30,26,8,0,1033,Civil Gov
2025-07-31,28,13,1,1048,Civil Gov
2025-08-01,19,10,0,1057,Civil Gov
2025-08-02,5,6,0,1056,Reseller
2025-08-03,5,11,1,1050,Reseller
2025-08-04,15,11,0,1054,Reseller
2025-08-05,20,10,1,1064,Aviation
2025-08-06,17,10,1,1071,Aviation
2025-08-07,27,12,0,1086,Reseller
2025-08-08,20,11,1,1095,Reseller
2025-08-09,3,11,0,1087,Reseller
2025-08-10,0,13,0,1074,Aviation
2025-08-11,19,10,0,1083,Reseller
2025-08-12,21,14,0,1090,Reseller
2025-08-13,19,13,0,1096,Maritime
2025-08-14,22,6,0,1112,Starshield
2025-08-15,20,14,1,1118,Reseller
2025-08-16,2,13,0,1107,Reseller
2025-08-17,0,13,0,1094,Maritime
2025-08-18,15,12,0,1097,Reseller
2025-08-19,25,7,1,1115,Reseller
2025-08-20,23,12,1,1126,Reseller
2025-08-21,21,9,0,1138,Reseller
2025-08-22,17,9,0,1146,Civil Gov
2025-08-23,7,8,0,1145,Reseller
2025-08-24,0,9,0,1136,Reseller
2025-08-25,24,7,1,1153,Reseller
2025-08-26,12,8,0,1157,Reseller
2025-08-27,22,5,0,1174,Reseller
2025-08-28,26,12,0,1188,Reseller
2025-08-29,29,9,1,1208,Civil Gov
2025-08-30,3,14,0,1197,Reseller
2025-08-31,3,5,0,1195,Civil Gov
2025-09-01,15,14,1,1196,Fixed
2025-09-02,20,15,0,1201,Reseller
2025-09-03,22,11,1,1212,Reseller
2025-09-04,20,14,1,1218,Maritime
2025-09-05,22,6,0,1234,Starshield
2025-09-06,3,11,0,1226,Aviation
2025-09-07,0,12,0,1214,Reseller
2025-09-08,15,9,0,1220,Starshield
2025-09-09,15,14,1,1221,Reseller
2025-09-10,21,14,2,1228,Starshield
2025-09-11,24,8,0,1244,Civil Gov
2025-09-12,21,8,1,1257,Reseller
2025-09-13,6,7,0,1256,Reseller
2025-09-14,0,8,0,1248,Reseller
2025-09-15,22,9,0,1261,Reseller
2025-09-16,11,13,0,1259,Aviation
2025-09-17,13,8,0,1264,Reseller
2025-09-18,23,12,1,1275,Reseller
2025-09-19,18,7,0,1286,Reseller
2025-09-20,0,10,1,1276,Maritime
2025-09-21,0,13,0,1263,Maritime
2025-09-22,18,9,1,1272,Reseller
2025-09-23,19,10,1,1281,Reseller
2025-09-24,33,12,0,1302,Fixed
2025-09-25,20,7,1,1315,Reseller
2025-09-26,23,8,0,1330,Civil Gov
2025-09-27,5,14,0,1321,Reseller
2025-09-28,1,8,0,1314,Fixed
2025-09-29,13,12,0,1315,Reseller
2025-09-30,13,11,0,1317,Aviation
2025-10-01,11,8,1,1320,Fixed
2025-10-02,20,7,0,1333,Starshield
2025-10-03,23,9,1,1347,Fixed
2025-10-04,0,11,0,1336,Starshield
2025-10-05,0,8,0,1328,Fixed
2025-10-06,22,11,0,1339,Starshield
2025-10-07,24,11,1,1352,Reseller
2025-10-08,20,6,1,1366,Starshield
2025-10-09,26,9,1,1383,Reseller
2025-10-10,19,13,0,1389,Aviation
2025-10-11,3,10,0,1382,Reseller
2025-10-12,0,12,1,1370,Starshield
2025-10-13,15,10,0,1375,Aviation
2025-10-14,24,8,0,1391,Reseller
2025-10-15,27,8,1,1410,Reseller
2025-10-16,24,5,2,1429,Starshield
2025-10-17,19,12,0,1436,Aviation
2025-10-18,3,9,0,1430,Reseller
2025-10-19,4,12,0,1422,Reseller
2025-10-20,16,11,1,1427,Reseller
2025-10-21,18,10,1,1435,Reseller
2025-10-22,22,9,1,1448,Reseller
2025-10-23,24,11,0,1461,Reseller
2025-10-24,27,9,1,1479,Reseller
2025-10-25,4,9,0,1474,Reseller
2025-10-26,0,10,0,1464,Civil Gov
2025-10-27,24,9,0,1479,Reseller
2025-10-28,23,10,1,1492,Maritime
2025-10-29,23,12,0,1503,Civil Gov
2025-10-30,27,13,1,1517,Civil Gov
2025-10-31,22,11,0,1528,Aviation
2025-11-01,6,6,0,1528,Starshield
2025-11-02,0,8,0,1520,Starshield
2025-11-03,20,10,0,1530,Reseller
2025-11-04,23,13,0,1540,Fixed
2025-11-05,22,7,0,1555,Reseller
2025-11-06,15,6,0,1564,Fixed
2025-11-07,18,11,0,1571,Reseller
2025-11-08,2,11,0,1562,Fixed
2025-11-09,1,13,0,1550,Reseller
2025-11-10,18,8,0,1560,Fixed
2025-11-11,23,14,0,1569,Civil Gov
2025-11-12,30,12,0,1587,Starshield
2025-11-13,28,10,0,1605,Reseller
2025-11-14,21,9,0,1617,Fixed
2025-11-15,3,10,0,1610,Reseller
2025-11-16,5,9,1,1606,Fixed
2025-11-17,17,9,1,1614,Reseller
2025-11-18,21,9,0,1626,Reseller
2025-11-19,24,14,0,1636,Civil Gov
2025-11-20,32,11,1,1657,Fixed
2025-11-21,25,13,1,1669,Reseller
2025-11-22,0,11,0,1658,Reseller
